type,time,x,y
GROUND,1752846573.884022,-0.49140777912056066,0.34950256765115817
GROUND,1752846573.8962486,-0.49615676450730284,0.3437898092364028
GROUND,1752846573.907882,-0.5005895033912089,0.3385842029044128
GROUND,1752846573.920089,-0.5052027031777029,0.333024175576932
GROUND,1752846573.93173,-0.5097630382180496,0.327960212119055
GROUND,1752846573.9440203,-0.5143820337492477,0.3233811640959289
GROUND,1752846573.956272,-0.5187727422047717,0.3186432448684079
GROUND,1752846573.9680858,-0.5232307610733966,0.31456923589624763
GROUND,1752846573.9798262,-0.5275082374904994,0.3101896966171691
GROUND,1752846573.9920013,-0.531929232517625,0.30588195387332984
GROUND,1752846574.0041847,-0.5365993785739742,0.3022371709084981
GROUND,1752846574.0158339,-0.5412862096352655,0.2975055355731282
GROUND,1752846574.0280366,-0.5461280232022125,0.2925725901985532
GROUND,1752846574.0402389,-0.5515358006568416,0.2871588623688387
GROUND,1752846574.0518997,-0.5570849278446532,0.28163624350355243
GROUND,1752846574.0640864,-0.5628233913391534,0.2754305479856445
GROUND,1752846574.075901,-0.5684241019472114,0.26946304383932973
GROUND,1752846574.088094,-0.5738562206109399,0.2638744816161165
GROUND,1752846574.1002738,-0.5792893274983024,0.25927381345612066
GROUND,1752846574.1118152,-0.5844850634605336,0.2557476627752048
GROUND,1752846574.1239848,-0.5891856555893837,0.25185595146546835
GROUND,1752846574.136182,-0.5939099886905486,0.24827731210766146
GROUND,1752846574.1478112,-0.598586584998837,0.24540945833303185
GROUND,1752846574.1599898,-0.6034971294584945,0.24223960563505842
GROUND,1752846574.1722584,-0.6087788543320394,0.23925909612064478
GROUND,1752846574.1838825,-0.6138476682483862,0.23508136106583088
GROUND,1752846574.196117,-0.6190544717363822,0.230667576962576
GROUND,1752846574.2083275,-0.6244602225551565,0.2265758455717859
GROUND,1752846574.2200115,-0.6302721957314961,0.22244664545117976
GROUND,1752846574.2322187,-0.6359683567751939,0.2177969145284009
GROUND,1752846574.2438846,-0.6415519881234766,0.21362753190965478
GROUND,1752846574.2560818,-0.6469454700274158,0.20964111437123678
GROUND,1752846574.2683957,-0.652147657532347,0.20581002946567506
GROUND,1752846574.2798944,-0.657247557432088,0.20344583319670817
GROUND,1752846574.2920816,-0.6622579383702143,0.20084735448147872
GROUND,1752846574.3043013,-0.6671567757214558,0.19889451346794262
GROUND,1752846574.315941,-0.6722509045284841,0.19669068220548314
